CPU,RAM,SSD,Motherboard,GPU,PSU,Use_Case,Price
Intel i3-10100,8GB DDR4,240GB SATA,Gigabyte B460M,RTX 3060,650W,Gaming,550
Intel i9-10900K,32GB DDR4,512GB NVMe,ASUS Z590,RTX 4080,650W,Server,700
AMD Ryzen 5 3600,16GB DDR4,512GB NVMe,MSI B550M,GTX 1660,500W,Server,750
Intel i7-10700K,32GB DDR4,512GB NVMe,MSI Z490-A PRO,GTX 1050,500W,Basic,950
Intel i9-10900K,64GB DDR4,120GB SATA,ASUS Z590,RTX 3080,850W,Basic,700
AMD Ryzen 9 5950X,64GB DDR4,120GB SATA,MSI X570 Unify,RTX 3080,500W,Server,700
AMD Ryzen 9 5950X,32GB DDR4,120GB SATA,MSI X570 Unify,RTX 2060,750W,Editing,700
AMD Ryzen 5 3600,8GB DDR4,120GB SATA,ASUS B450,RX 6600,450W,Gaming,800
AMD Ryzen 3 3100,4GB DDR4,512GB SATA,ASRock B450M,RX 7900,750W,Server,550
Intel i3-10100,4GB DDR4,512GB SATA,Gigabyte B460M,None,500W,Editing,550
Intel i3-10100,4GB DDR4,512GB NVMe,Gigabyte B460M,None,750W,Editing,550
Intel i7-10700K,32GB DDR4,1TB NVMe,MSI Z490-A PRO,RX 7900,450W,Editing,950
Intel i5-10400F,8GB DDR4,1TB NVMe,Gigabyte B560M,RX 7900,450W,Gaming,800
Intel i3-10100,8GB DDR4,512GB NVMe,ASUS H410M,RTX 2060,750W,Basic,550
AMD Ryzen 9 5950X,32GB DDR4,512GB NVMe,ASUS X570,RTX 3060,750W,Basic,700
AMD Ryzen 3 3100,8GB DDR4,512GB SATA,ASRock B450M,RTX 2060,600W,Basic,550
AMD Ryzen 3 3100,4GB DDR4,512GB NVMe,ASRock B450M,RTX 4080,750W,Editing,550
AMD Ryzen 3 3100,4GB DDR4,1TB NVMe,ASRock B450M,RX 570,600W,Basic,500
Intel i3-10100,8GB DDR4,1TB NVMe,Gigabyte B460M,RTX 2060,750W,Gaming,550
AMD Ryzen 5 3600,16GB DDR4,512GB SATA,ASUS B450,RX 7900,750W,Basic,800
Intel i5-10400F,8GB DDR4,512GB SATA,Gigabyte B560M,RX 7900,500W,Server,800
AMD Ryzen 3 3100,4GB DDR4,512GB NVMe,MSI A320M,GTX 1660,750W,Server,600
Intel i5-10400F,16GB DDR4,120GB SATA,Gigabyte B560M,RX 7900,500W,Basic,800
Intel i3-10100,4GB DDR4,1TB NVMe,Gigabyte B460M,RTX 2060,450W,Server,550
Intel i3-10100,4GB DDR4,120GB SATA,ASUS H410M,RX 570,650W,Office,500
AMD Ryzen 3 3100,8GB DDR4,240GB SATA,MSI A320M,RTX 2060,750W,Basic,550
Intel i7-10700K,16GB DDR4,512GB SATA,ASUS Z490,RX 7900,650W,Gaming,950
AMD Ryzen 7 5800X,32GB DDR4,1TB NVMe,Gigabyte B550,None,600W,Office,950
AMD Ryzen 3 3100,4GB DDR4,512GB NVMe,ASRock B450M,GTX 1050,600W,Basic,550
AMD Ryzen 7 5800X,32GB DDR4,512GB SATA,Gigabyte B550,GTX 1660,750W,Basic,1000
AMD Ryzen 9 5950X,32GB DDR4,1TB NVMe,ASUS X570,RX 6600,500W,Server,700
Intel i5-10400F,8GB DDR4,512GB SATA,ASUS B460M,RX 570,600W,Gaming,700
Intel i5-10400F,16GB DDR4,240GB SATA,Gigabyte B560M,RX 570,650W,Server,700
AMD Ryzen 5 3600,8GB DDR4,1TB NVMe,MSI B550M,RX 7900,450W,Gaming,800
AMD Ryzen 9 5950X,64GB DDR4,120GB SATA,ASUS X570,RTX 2060,650W,Editing,700
Intel i7-10700K,16GB DDR4,1TB NVMe,ASUS Z490,RTX 3060,400W,Office,950
AMD Ryzen 5 3600,16GB DDR4,1TB NVMe,ASUS B450,GTX 1660,600W,Gaming,750
AMD Ryzen 5 3600,16GB DDR4,120GB SATA,ASUS B450,GTX 1660,500W,Basic,750
AMD Ryzen 3 3100,4GB DDR4,512GB SATA,ASRock B450M,None,650W,Office,550
AMD Ryzen 5 3600,8GB DDR4,512GB SATA,MSI B550M,RX 7900,500W,Basic,800
AMD Ryzen 7 5800X,16GB DDR4,120GB SATA,Gigabyte B550,RX 6600,650W,Editing,950
AMD Ryzen 3 3100,4GB DDR4,1TB NVMe,ASRock B450M,RX 7900,750W,Editing,550
Intel i7-10700K,16GB DDR4,512GB NVMe,ASUS Z490,RTX 3060,500W,Gaming,950
Intel i9-10900K,32GB DDR4,512GB SATA,Gigabyte Z590 AORUS,RTX 3060,750W,Server,700
AMD Ryzen 9 5950X,32GB DDR4,512GB NVMe,MSI X570 Unify,RX 570,450W,Editing,700
Intel i3-10100,4GB DDR4,512GB NVMe,Gigabyte B460M,RTX 3060,650W,Gaming,550
AMD Ryzen 7 5800X,32GB DDR4,512GB SATA,ASUS X570,RX 6600,450W,Basic,950
AMD Ryzen 5 3600,16GB DDR4,512GB SATA,ASUS B450,GTX 1650,650W,Editing,800
Intel i9-10900K,64GB DDR4,512GB NVMe,Gigabyte Z590 AORUS,RX 7900,500W,Editing,700
Intel i7-10700K,16GB DDR4,512GB SATA,MSI Z490-A PRO,None,400W,Server,950
Intel i7-10700K,32GB DDR4,120GB SATA,MSI Z490-A PRO,RX 6600,500W,Server,950
Intel i9-10900K,32GB DDR4,512GB NVMe,ASUS Z590,GTX 1050,850W,Editing,700
AMD Ryzen 5 3600,16GB DDR4,240GB SATA,MSI B550M,RTX 4080,600W,Server,800
AMD Ryzen 9 5950X,32GB DDR4,512GB SATA,ASUS X570,GTX 1050,650W,Office,700
Intel i3-10100,8GB DDR4,1TB NVMe,ASUS H410M,GTX 1650,400W,Server,550
AMD Ryzen 9 5950X,64GB DDR4,512GB SATA,ASUS X570,RTX 3060,650W,Office,700
Intel i7-10700K,32GB DDR4,512GB SATA,ASUS Z490,RX 570,750W,Basic,850
AMD Ryzen 9 5950X,64GB DDR4,512GB NVMe,ASUS X570,RX 6600,500W,Server,700
AMD Ryzen 5 3600,8GB DDR4,512GB NVMe,ASUS B450,GTX 1050,500W,Editing,800
AMD Ryzen 3 3100,8GB DDR4,120GB SATA,ASRock B450M,GTX 1660,750W,Office,600
AMD Ryzen 7 5800X,16GB DDR4,512GB NVMe,Gigabyte B550,RTX 2060,400W,Basic,950
AMD Ryzen 3 3100,8GB DDR4,120GB SATA,MSI A320M,RX 570,650W,Office,500
Intel i7-10700K,32GB DDR4,1TB NVMe,ASUS Z490,RX 7900,500W,Basic,950
Intel i7-10700K,16GB DDR4,512GB SATA,MSI Z490-A PRO,GTX 1650,650W,Basic,950
Intel i7-10700K,16GB DDR4,240GB SATA,ASUS Z490,RTX 3060,750W,Editing,950
AMD Ryzen 9 5950X,32GB DDR4,512GB NVMe,ASUS X570,RTX 3060,400W,Gaming,700
Intel i3-10100,8GB DDR4,1TB NVMe,ASUS H410M,RTX 3060,400W,Editing,550
Intel i9-10900K,64GB DDR4,512GB SATA,ASUS Z590,GTX 1650,750W,Gaming,700
Intel i9-10900K,64GB DDR4,240GB SATA,Gigabyte Z590 AORUS,None,500W,Gaming,700
Intel i7-10700K,32GB DDR4,512GB NVMe,MSI Z490-A PRO,RTX 3060,750W,Editing,950
AMD Ryzen 3 3100,8GB DDR4,240GB SATA,MSI A320M,GTX 1050,650W,Basic,550
Intel i7-10700K,16GB DDR4,512GB NVMe,MSI Z490-A PRO,RTX 3060,600W,Basic,950
AMD Ryzen 7 5800X,16GB DDR4,512GB NVMe,Gigabyte B550,GTX 1660,450W,Gaming,1000
AMD Ryzen 7 5800X,32GB DDR4,120GB SATA,Gigabyte B550,RX 7900,850W,Editing,950
AMD Ryzen 9 5950X,32GB DDR4,1TB NVMe,MSI X570 Unify,RX 7900,400W,Editing,700
Intel i3-10100,8GB DDR4,512GB NVMe,ASUS H410M,RTX 3080,600W,Basic,550
AMD Ryzen 3 3100,4GB DDR4,120GB SATA,ASRock B450M,None,750W,Server,550
AMD Ryzen 3 3100,4GB DDR4,120GB SATA,MSI A320M,RX 7900,850W,Office,550
AMD Ryzen 7 5800X,32GB DDR4,512GB SATA,ASUS X570,RTX 2060,400W,Office,950
Intel i7-10700K,16GB DDR4,1TB NVMe,MSI Z490-A PRO,RX 570,600W,Office,850
AMD Ryzen 7 5800X,16GB DDR4,1TB NVMe,ASUS X570,GTX 1050,650W,Gaming,950
AMD Ryzen 7 5800X,16GB DDR4,240GB SATA,Gigabyte B550,None,600W,Editing,950
AMD Ryzen 3 3100,8GB DDR4,120GB SATA,MSI A320M,GTX 1650,450W,Server,550
AMD Ryzen 7 5800X,32GB DDR4,240GB SATA,Gigabyte B550,RX 7900,650W,Basic,950
AMD Ryzen 7 5800X,16GB DDR4,512GB SATA,Gigabyte B550,RTX 3080,400W,Basic,1500
Intel i7-10700K,16GB DDR4,512GB NVMe,ASUS Z490,GTX 1050,750W,Office,950
AMD Ryzen 9 5950X,64GB DDR4,120GB SATA,MSI X570 Unify,RX 570,850W,Editing,700
Intel i5-10400F,8GB DDR4,512GB SATA,ASUS B460M,RX 6600,600W,Office,800
AMD Ryzen 9 5950X,32GB DDR4,512GB SATA,MSI X570 Unify,GTX 1660,750W,Editing,700
AMD Ryzen 7 5800X,32GB DDR4,240GB SATA,ASUS X570,RX 7900,600W,Gaming,950
Intel i5-10400F,16GB DDR4,512GB SATA,ASUS B460M,RX 7900,400W,Editing,800
AMD Ryzen 5 3600,16GB DDR4,512GB NVMe,MSI B550M,RTX 3080,850W,Basic,1200
Intel i3-10100,4GB DDR4,240GB SATA,ASUS H410M,RTX 3060,500W,Basic,550
Intel i9-10900K,32GB DDR4,240GB SATA,Gigabyte Z590 AORUS,RTX 2060,450W,Editing,700
AMD Ryzen 7 5800X,32GB DDR4,512GB SATA,ASUS X570,RTX 3080,650W,Gaming,1500
Intel i9-10900K,64GB DDR4,120GB SATA,Gigabyte Z590 AORUS,GTX 1660,650W,Office,700
Intel i9-10900K,32GB DDR4,512GB NVMe,ASUS Z590,RX 6600,650W,Basic,700
Intel i3-10100,4GB DDR4,240GB SATA,ASUS H410M,GTX 1050,600W,Office,550
AMD Ryzen 5 3600,16GB DDR4,120GB SATA,MSI B550M,RTX 2060,650W,Office,800
Intel i9-10900K,64GB DDR4,240GB SATA,ASUS Z590,GTX 1050,750W,Basic,700
AMD Ryzen 3 3100,4GB DDR4,240GB SATA,MSI A320M,None,450W,Office,550
Intel i5-10400F,16GB DDR4,512GB NVMe,ASUS B460M,RTX 3080,400W,Basic,1200
Intel i9-10900K,32GB DDR4,512GB NVMe,ASUS Z590,None,500W,Gaming,700
Intel i5-10400F,8GB DDR4,512GB NVMe,ASUS B460M,None,750W,Gaming,800
AMD Ryzen 9 5950X,32GB DDR4,120GB SATA,MSI X570 Unify,RTX 3080,750W,Basic,700
AMD Ryzen 9 5950X,64GB DDR4,120GB SATA,MSI X570 Unify,None,500W,Editing,700
AMD Ryzen 3 3100,4GB DDR4,120GB SATA,MSI A320M,RTX 3080,450W,Server,550
Intel i7-10700K,32GB DDR4,512GB SATA,MSI Z490-A PRO,GTX 1660,750W,Server,1000
Intel i7-10700K,32GB DDR4,512GB SATA,MSI Z490-A PRO,RX 6600,600W,Basic,950
AMD Ryzen 7 5800X,16GB DDR4,120GB SATA,ASUS X570,GTX 1660,650W,Office,1000
AMD Ryzen 7 5800X,16GB DDR4,1TB NVMe,ASUS X570,RTX 3060,750W,Gaming,950
AMD Ryzen 7 5800X,16GB DDR4,120GB SATA,Gigabyte B550,RTX 4080,750W,Office,950
Intel i9-10900K,32GB DDR4,512GB SATA,ASUS Z590,None,400W,Basic,700
AMD Ryzen 9 5950X,32GB DDR4,512GB SATA,ASUS X570,RTX 3060,750W,Editing,700
Intel i9-10900K,64GB DDR4,120GB SATA,Gigabyte Z590 AORUS,None,750W,Gaming,700
Intel i9-10900K,64GB DDR4,512GB SATA,ASUS Z590,RTX 3080,600W,Editing,700
Intel i5-10400F,16GB DDR4,120GB SATA,ASUS B460M,None,450W,Editing,800
AMD Ryzen 9 5950X,64GB DDR4,120GB SATA,ASUS X570,GTX 1650,500W,Editing,700
AMD Ryzen 3 3100,8GB DDR4,240GB SATA,MSI A320M,RX 7900,850W,Gaming,550
AMD Ryzen 7 5800X,16GB DDR4,240GB SATA,ASUS X570,None,450W,Office,950
Intel i5-10400F,16GB DDR4,120GB SATA,Gigabyte B560M,None,750W,Server,800
AMD Ryzen 3 3100,4GB DDR4,512GB SATA,MSI A320M,RX 570,750W,Editing,500
AMD Ryzen 5 3600,8GB DDR4,512GB SATA,MSI B550M,RX 7900,400W,Editing,800
Intel i7-10700K,32GB DDR4,512GB SATA,MSI Z490-A PRO,RX 6600,400W,Gaming,950
AMD Ryzen 9 5950X,32GB DDR4,240GB SATA,ASUS X570,RTX 3060,500W,Editing,700
AMD Ryzen 3 3100,4GB DDR4,120GB SATA,ASRock B450M,RX 7900,450W,Office,550
AMD Ryzen 7 5800X,32GB DDR4,120GB SATA,Gigabyte B550,GTX 1050,600W,Office,950
AMD Ryzen 7 5800X,16GB DDR4,1TB NVMe,ASUS X570,RTX 3060,850W,Server,950
Intel i5-10400F,16GB DDR4,1TB NVMe,Gigabyte B560M,GTX 1650,750W,Gaming,800
Intel i3-10100,8GB DDR4,1TB NVMe,Gigabyte B460M,RTX 3080,450W,Editing,550
AMD Ryzen 3 3100,4GB DDR4,1TB NVMe,MSI A320M,RTX 3080,500W,Server,550
AMD Ryzen 7 5800X,16GB DDR4,512GB NVMe,ASUS X570,RTX 2060,750W,Editing,950
AMD Ryzen 3 3100,8GB DDR4,120GB SATA,MSI A320M,RTX 2060,750W,Editing,550
Intel i9-10900K,64GB DDR4,1TB NVMe,ASUS Z590,GTX 1050,450W,Office,700
AMD Ryzen 5 3600,8GB DDR4,512GB SATA,ASUS B450,RTX 3080,600W,Server,1200
Intel i7-10700K,32GB DDR4,512GB SATA,ASUS Z490,GTX 1650,400W,Office,950
AMD Ryzen 5 3600,8GB DDR4,120GB SATA,ASUS B450,RTX 4080,400W,Gaming,800
Intel i5-10400F,8GB DDR4,512GB NVMe,Gigabyte B560M,RTX 2060,400W,Gaming,800
Intel i5-10400F,16GB DDR4,120GB SATA,ASUS B460M,RX 570,600W,Editing,700
AMD Ryzen 7 5800X,32GB DDR4,512GB SATA,ASUS X570,RTX 3080,600W,Server,1500
AMD Ryzen 5 3600,8GB DDR4,512GB SATA,MSI B550M,GTX 1660,650W,Office,750
Intel i5-10400F,16GB DDR4,512GB SATA,Gigabyte B560M,RTX 4080,850W,Server,800
Intel i5-10400F,16GB DDR4,240GB SATA,ASUS B460M,GTX 1650,450W,Gaming,800
AMD Ryzen 9 5950X,64GB DDR4,512GB NVMe,ASUS X570,GTX 1660,400W,Server,700
AMD Ryzen 5 3600,8GB DDR4,1TB NVMe,ASUS B450,GTX 1650,650W,Gaming,800
Intel i9-10900K,32GB DDR4,240GB SATA,ASUS Z590,RX 570,500W,Basic,700
AMD Ryzen 5 3600,16GB DDR4,1TB NVMe,ASUS B450,RTX 2060,400W,Server,800
Intel i9-10900K,32GB DDR4,1TB NVMe,Gigabyte Z590 AORUS,GTX 1660,400W,Basic,700
AMD Ryzen 5 3600,8GB DDR4,120GB SATA,ASUS B450,RTX 3060,600W,Basic,800
Intel i9-10900K,32GB DDR4,512GB SATA,ASUS Z590,RTX 2060,600W,Gaming,700
AMD Ryzen 3 3100,4GB DDR4,512GB SATA,MSI A320M,RX 6600,600W,Office,550
AMD Ryzen 5 3600,8GB DDR4,240GB SATA,MSI B550M,GTX 1650,450W,Gaming,800
AMD Ryzen 7 5800X,16GB DDR4,512GB NVMe,ASUS X570,RTX 3060,600W,Basic,950
AMD Ryzen 9 5950X,32GB DDR4,512GB NVMe,MSI X570 Unify,RTX 3080,400W,Gaming,700
Intel i5-10400F,16GB DDR4,512GB NVMe,Gigabyte B560M,RTX 2060,400W,Basic,800
AMD Ryzen 5 3600,8GB DDR4,120GB SATA,ASUS B450,RX 7900,850W,Office,800
Intel i5-10400F,8GB DDR4,1TB NVMe,ASUS B460M,RTX 3060,750W,Basic,800
Intel i7-10700K,32GB DDR4,512GB NVMe,ASUS Z490,RTX 4080,400W,Editing,950
AMD Ryzen 9 5950X,64GB DDR4,512GB SATA,MSI X570 Unify,None,600W,Editing,700
AMD Ryzen 5 3600,16GB DDR4,1TB NVMe,MSI B550M,GTX 1650,400W,Basic,800
AMD Ryzen 9 5950X,64GB DDR4,1TB NVMe,MSI X570 Unify,GTX 1050,750W,Server,700
AMD Ryzen 5 3600,8GB DDR4,512GB NVMe,ASUS B450,RX 7900,600W,Server,800
Intel i7-10700K,16GB DDR4,240GB SATA,ASUS Z490,RTX 2060,450W,Basic,950
AMD Ryzen 3 3100,8GB DDR4,240GB SATA,MSI A320M,RX 570,600W,Editing,500
Intel i7-10700K,16GB DDR4,512GB NVMe,ASUS Z490,None,600W,Gaming,950
Intel i9-10900K,32GB DDR4,512GB SATA,ASUS Z590,RTX 2060,400W,Server,700
Intel i9-10900K,64GB DDR4,512GB NVMe,ASUS Z590,None,450W,Basic,700
AMD Ryzen 9 5950X,32GB DDR4,120GB SATA,ASUS X570,RTX 4080,750W,Basic,700
Intel i9-10900K,32GB DDR4,1TB NVMe,ASUS Z590,RX 7900,450W,Basic,700
Intel i5-10400F,8GB DDR4,1TB NVMe,Gigabyte B560M,GTX 1660,450W,Gaming,750
Intel i3-10100,8GB DDR4,120GB SATA,Gigabyte B460M,RTX 3060,600W,Editing,550
Intel i7-10700K,32GB DDR4,512GB NVMe,MSI Z490-A PRO,GTX 1660,500W,Editing,1000
Intel i9-10900K,32GB DDR4,512GB SATA,ASUS Z590,GTX 1650,850W,Office,700
Intel i9-10900K,32GB DDR4,120GB SATA,ASUS Z590,RTX 4080,450W,Gaming,700
AMD Ryzen 9 5950X,32GB DDR4,512GB NVMe,ASUS X570,RTX 3080,850W,Editing,700
AMD Ryzen 3 3100,8GB DDR4,240GB SATA,ASRock B450M,RTX 4080,600W,Office,550
AMD Ryzen 9 5950X,32GB DDR4,512GB SATA,ASUS X570,GTX 1050,750W,Editing,700
AMD Ryzen 5 3600,16GB DDR4,120GB SATA,ASUS B450,None,750W,Gaming,800
AMD Ryzen 3 3100,8GB DDR4,120GB SATA,ASRock B450M,GTX 1050,600W,Editing,550
Intel i3-10100,4GB DDR4,1TB NVMe,ASUS H410M,RX 6600,600W,Office,550
Intel i7-10700K,16GB DDR4,512GB NVMe,ASUS Z490,RTX 3080,400W,Basic,1500
AMD Ryzen 9 5950X,32GB DDR4,120GB SATA,MSI X570 Unify,RX 6600,650W,Editing,700
Intel i7-10700K,32GB DDR4,120GB SATA,MSI Z490-A PRO,GTX 1050,750W,Editing,950
AMD Ryzen 3 3100,4GB DDR4,512GB SATA,ASRock B450M,GTX 1650,450W,Editing,550
Intel i7-10700K,16GB DDR4,512GB SATA,ASUS Z490,RTX 3060,600W,Office,950
AMD Ryzen 9 5950X,64GB DDR4,120GB SATA,MSI X570 Unify,RTX 2060,850W,Server,700
Intel i5-10400F,8GB DDR4,512GB NVMe,Gigabyte B560M,None,750W,Gaming,800
AMD Ryzen 5 3600,16GB DDR4,512GB NVMe,ASUS B450,RTX 2060,650W,Basic,800
AMD Ryzen 3 3100,4GB DDR4,512GB NVMe,MSI A320M,RX 570,650W,Server,500
Intel i5-10400F,8GB DDR4,120GB SATA,Gigabyte B560M,RTX 3080,750W,Editing,1200
AMD Ryzen 9 5950X,32GB DDR4,512GB SATA,MSI X570 Unify,RX 7900,650W,Server,700
AMD Ryzen 3 3100,4GB DDR4,512GB NVMe,ASRock B450M,GTX 1050,500W,Gaming,550
Intel i5-10400F,8GB DDR4,1TB NVMe,ASUS B460M,GTX 1050,750W,Office,800
AMD Ryzen 7 5800X,16GB DDR4,240GB SATA,Gigabyte B550,RTX 3060,450W,Gaming,950
Intel i9-10900K,32GB DDR4,512GB SATA,Gigabyte Z590 AORUS,GTX 1660,600W,Gaming,700
AMD Ryzen 3 3100,8GB DDR4,120GB SATA,ASRock B450M,None,500W,Basic,550
Intel i7-10700K,16GB DDR4,1TB NVMe,MSI Z490-A PRO,RTX 4080,600W,Server,950
Intel i7-10700K,16GB DDR4,120GB SATA,MSI Z490-A PRO,GTX 1050,750W,Server,950
AMD Ryzen 5 3600,16GB DDR4,512GB SATA,MSI B550M,None,500W,Basic,800
Intel i9-10900K,32GB DDR4,512GB SATA,Gigabyte Z590 AORUS,RX 570,750W,Office,700
AMD Ryzen 7 5800X,32GB DDR4,120GB SATA,Gigabyte B550,GTX 1650,650W,Basic,950
AMD Ryzen 9 5950X,32GB DDR4,1TB NVMe,ASUS X570,GTX 1050,750W,Basic,700
Intel i5-10400F,8GB DDR4,512GB NVMe,Gigabyte B560M,GTX 1650,750W,Basic,800
Intel i3-10100,4GB DDR4,1TB NVMe,ASUS H410M,RTX 2060,500W,Basic,550
AMD Ryzen 9 5950X,32GB DDR4,512GB NVMe,MSI X570 Unify,RX 7900,850W,Gaming,700
AMD Ryzen 5 3600,8GB DDR4,120GB SATA,MSI B550M,GTX 1050,600W,Basic,800
Intel i7-10700K,16GB DDR4,512GB NVMe,ASUS Z490,RX 570,500W,Basic,850
Intel i7-10700K,16GB DDR4,120GB SATA,ASUS Z490,GTX 1050,400W,Editing,950
AMD Ryzen 3 3100,4GB DDR4,1TB NVMe,MSI A320M,GTX 1650,750W,Office,550
Intel i9-10900K,32GB DDR4,120GB SATA,Gigabyte Z590 AORUS,RX 570,600W,Editing,700
AMD Ryzen 7 5800X,32GB DDR4,512GB NVMe,ASUS X570,GTX 1050,850W,Editing,950
Intel i7-10700K,32GB DDR4,240GB SATA,ASUS Z490,RTX 3080,650W,Basic,1500
Intel i5-10400F,16GB DDR4,120GB SATA,ASUS B460M,RTX 2060,400W,Server,800
Intel i7-10700K,32GB DDR4,240GB SATA,ASUS Z490,RTX 4080,500W,Gaming,950
AMD Ryzen 3 3100,4GB DDR4,512GB NVMe,MSI A320M,None,450W,Office,550
AMD Ryzen 9 5950X,32GB DDR4,512GB NVMe,MSI X570 Unify,RX 7900,600W,Server,700
Intel i3-10100,4GB DDR4,240GB SATA,ASUS H410M,GTX 1660,650W,Basic,600
AMD Ryzen 7 5800X,32GB DDR4,240GB SATA,Gigabyte B550,GTX 1050,500W,Server,950
AMD Ryzen 5 3600,8GB DDR4,512GB SATA,MSI B550M,None,850W,Editing,800
Intel i9-10900K,64GB DDR4,120GB SATA,Gigabyte Z590 AORUS,GTX 1650,600W,Basic,700
AMD Ryzen 9 5950X,64GB DDR4,120GB SATA,MSI X570 Unify,RX 7900,750W,Basic,700
AMD Ryzen 3 3100,4GB DDR4,240GB SATA,MSI A320M,RTX 3080,400W,Basic,550
Intel i5-10400F,8GB DDR4,512GB NVMe,ASUS B460M,RX 7900,600W,Server,800
AMD Ryzen 9 5950X,64GB DDR4,512GB NVMe,ASUS X570,RTX 3060,400W,Editing,700
AMD Ryzen 3 3100,4GB DDR4,240GB SATA,ASRock B450M,RX 570,750W,Basic,500
AMD Ryzen 3 3100,8GB DDR4,1TB NVMe,ASRock B450M,GTX 1660,500W,Basic,600
Intel i3-10100,4GB DDR4,512GB NVMe,ASUS H410M,GTX 1650,450W,Server,550
AMD Ryzen 5 3600,16GB DDR4,512GB NVMe,ASUS B450,RX 6600,600W,Gaming,800
AMD Ryzen 7 5800X,32GB DDR4,120GB SATA,ASUS X570,RX 570,400W,Basic,850
AMD Ryzen 5 3600,16GB DDR4,1TB NVMe,ASUS B450,RTX 2060,400W,Editing,800
Intel i3-10100,8GB DDR4,1TB NVMe,Gigabyte B460M,RX 570,400W,Server,500
AMD Ryzen 7 5800X,16GB DDR4,240GB SATA,ASUS X570,RTX 3060,750W,Gaming,950
AMD Ryzen 7 5800X,16GB DDR4,512GB SATA,Gigabyte B550,RTX 2060,850W,Gaming,950
Intel i3-10100,8GB DDR4,512GB NVMe,ASUS H410M,None,450W,Office,550
AMD Ryzen 9 5950X,32GB DDR4,120GB SATA,ASUS X570,None,750W,Editing,700
Intel i9-10900K,32GB DDR4,1TB NVMe,ASUS Z590,RX 6600,850W,Editing,700
AMD Ryzen 7 5800X,16GB DDR4,512GB NVMe,Gigabyte B550,RX 6600,400W,Basic,950
AMD Ryzen 3 3100,8GB DDR4,240GB SATA,MSI A320M,None,500W,Basic,550
AMD Ryzen 3 3100,8GB DDR4,512GB NVMe,ASRock B450M,RTX 3060,400W,Basic,550
AMD Ryzen 9 5950X,32GB DDR4,240GB SATA,MSI X570 Unify,RTX 3060,600W,Server,700
AMD Ryzen 3 3100,4GB DDR4,1TB NVMe,ASRock B450M,RX 7900,450W,Office,550
Intel i9-10900K,64GB DDR4,512GB NVMe,Gigabyte Z590 AORUS,GTX 1660,850W,Server,700
Intel i3-10100,8GB DDR4,1TB NVMe,ASUS H410M,RTX 3080,650W,Basic,550
AMD Ryzen 7 5800X,16GB DDR4,512GB SATA,ASUS X570,RTX 3080,750W,Editing,1500
AMD Ryzen 9 5950X,32GB DDR4,120GB SATA,ASUS X570,RX 7900,750W,Gaming,700
AMD Ryzen 9 5950X,64GB DDR4,512GB SATA,ASUS X570,RX 570,450W,Office,700
Intel i5-10400F,8GB DDR4,512GB SATA,Gigabyte B560M,RX 6600,500W,Editing,800
AMD Ryzen 5 3600,8GB DDR4,240GB SATA,MSI B550M,RTX 4080,850W,Server,800
Intel i7-10700K,32GB DDR4,512GB SATA,MSI Z490-A PRO,None,450W,Gaming,950
AMD Ryzen 3 3100,8GB DDR4,240GB SATA,MSI A320M,None,650W,Server,550
AMD Ryzen 7 5800X,16GB DDR4,512GB SATA,Gigabyte B550,RX 570,500W,Office,850
Intel i7-10700K,32GB DDR4,512GB NVMe,MSI Z490-A PRO,RX 6600,600W,Gaming,950
AMD Ryzen 9 5950X,32GB DDR4,240GB SATA,ASUS X570,RTX 3060,500W,Gaming,700
Intel i9-10900K,32GB DDR4,120GB SATA,ASUS Z590,RX 7900,500W,Server,700
Intel i3-10100,8GB DDR4,1TB NVMe,Gigabyte B460M,RTX 3080,400W,Server,550
Intel i3-10100,8GB DDR4,512GB SATA,ASUS H410M,None,650W,Basic,550
Intel i7-10700K,16GB DDR4,512GB NVMe,ASUS Z490,RX 7900,750W,Server,950
Intel i5-10400F,16GB DDR4,240GB SATA,Gigabyte B560M,RTX 2060,850W,Server,800
AMD Ryzen 9 5950X,32GB DDR4,1TB NVMe,ASUS X570,RTX 3060,500W,Gaming,700
Intel i9-10900K,32GB DDR4,120GB SATA,Gigabyte Z590 AORUS,None,600W,Editing,700
AMD Ryzen 3 3100,4GB DDR4,1TB NVMe,MSI A320M,RX 570,400W,Gaming,500
AMD Ryzen 5 3600,16GB DDR4,512GB NVMe,MSI B550M,RTX 4080,600W,Basic,800
Intel i9-10900K,32GB DDR4,120GB SATA,Gigabyte Z590 AORUS,RTX 2060,750W,Basic,700
Intel i9-10900K,32GB DDR4,1TB NVMe,ASUS Z590,RX 6600,500W,Basic,700
Intel i3-10100,8GB DDR4,120GB SATA,Gigabyte B460M,RTX 3060,600W,Server,550
AMD Ryzen 9 5950X,32GB DDR4,1TB NVMe,MSI X570 Unify,RX 7900,650W,Editing,700
Intel i7-10700K,32GB DDR4,512GB SATA,ASUS Z490,RTX 3060,650W,Basic,950
Intel i9-10900K,32GB DDR4,240GB SATA,Gigabyte Z590 AORUS,RX 6600,850W,Office,700
AMD Ryzen 3 3100,4GB DDR4,512GB SATA,MSI A320M,RX 7900,850W,Editing,550
AMD Ryzen 7 5800X,16GB DDR4,512GB NVMe,ASUS X570,GTX 1650,750W,Server,950
Intel i9-10900K,32GB DDR4,120GB SATA,ASUS Z590,RX 570,600W,Gaming,700
